Token ID,Card Number,Faction,Rarity
131,0101,Bum Legion 2099,R3
132,0102,Bum Legion 2099,R3
133,0103,Bum Legion 2099,R1
134,0104,Bum Legion 2099,R4
135,0105,Bum Legion 2099,R6
136,0106,Bum Legion 2099,R2
137,0107,Bum Legion 2099,R6
138,0108,Bum Legion 2099,R6
139,0109,Bum Legion 2099,R2
140,0110,Bum Legion 2099,R3
141,0111,Bum Legion 2099,R4
142,0112,Bum Legion 2099,R2
143,0113,Bum Legion 2099,R4
144,0114,Bum Legion 2099,R1
145,0115,Bum Legion 2099,R6
146,0116,Bum Legion 2099,R5
147,0117,Bum Legion 2099,R3
148,0118,Bum Legion 2099,R6
149,0119,Bum Legion 2099,R3
150,0120,Bum Legion 2099,R4
151,0121,Bum Legion 2099,R4
152,0122,Bum Legion 2099,R1
153,0123,Bum Legion 2099,R6
154,0124,Bum Legion 2099,R5
155,0125,Bum Legion 2099,R1
156,0126,Bum Legion 2099,R6
157,0127,Bum Legion 2099,R4
158,0128,Bum Legion 2099,R1
159,0129,FEMACUBE³,R3
160,0130,FEMACUBE³,R3
161,0131,FEMACUBE³,R5
162,0132,FEMACUBE³,R3
163,0133,FEMACUBE³,R1
164,0134,FEMACUBE³,R3
165,0135,FEMACUBE³,R4
166,0136,FEMACUBE³,R3
167,0137,FEMACUBE³,R2
168,0138,FEMACUBE³,R1
169,0139,FEMACUBE³,R3
170,0140,FEMACUBE³,R1
171,0141,FEMACUBE³,R5
172,0142,FEMACUBE³,R4
173,0143,FEMACUBE³,R5
174,0144,FEMACUBE³,R2
175,0145,FEMACUBE³,R1
176,0146,FEMACUBE³,R1
177,0147,FEMACUBE³,R2
178,0148,FEMACUBE³,R3
179,0149,FEMACUBE³,R5
180,0150,FEMACUBE³,R1
181,0151,FEMACUBE³,R4
182,0152,FEMACUBE³,R5
183,0153,FEMACUBE³,R3
184,0154,FEMACUBE³,R2
185,0155,FEMACUBE³,R3
186,0156,FEMACUBE³,R6
187,0157,FEMACUBE³,R1
188,0158,FEMACUBE³,R1
189,0159,FEMACUBE³,R2
190,0160,FEMACUBE³,R3
191,0161,FEMACUBE³,R4
192,0162,FEMACUBE³,R5
193,0163,FEMACUBE³,R1
194,0164,FEMACUBE³,R6
195,0165,FEMACUBE³,R4
196,0166,FEMACUBE³,R4
197,0167,FEMACUBE³,R2
198,0168,FEMACUBE³,R5
199,0169,FEMACUBE³,R3
200,0170,FEMACUBE³,R4
201,0171,FEMACUBE³,R2
202,0172,FEMACUBE³,R4
203,0173,FEMACUBE³,R2
204,0174,FEMACUBE³,R2
205,0175,FEMACUBE³,R4
206,0176,FEMACUBE³,R1
207,0177,FEMACUBE³,R2
208,0178,FEMACUBE³,R1
209,0179,FEMACUBE³,R3
210,0180,FEMACUBE³,R1
211,0181,FEMACUBE³,R1
212,0182,FEMACUBE³,R2
213,0183,FEMACUBE³,R2
214,0184,FEMACUBE³,R2
215,0185,FEMACUBE³,R1
216,0186,FEMACUBE³,R4
217,0187,FEMACUBE³,R3
218,0188,FEMACUBE³,R6
219,0189,FEMACUBE³,R2
220,0190,FEMACUBE³,R3
221,0191,FEMACUBE³,R2
222,0192,FEMACUBE³,R5
223,0193,FEMACUBE³,R3
224,0194,FEMACUBE³,R2
225,0195,FEMACUBE³,R3
226,0196,FEMACUBE³,R1
227,0197,FEMACUBE³,R2
228,0198,FEMACUBE³,R2
229,0199,FEMACUBE³,R4
230,0200,FEMACUBE³,R3
231,0201,FEMACUBE³,R1
232,0202,FEMACUBE³,R1
233,0203,FEMACUBE³,R2
234,0204,FEMACUBE³,R2
235,0205,FEMACUBE³,R3
236,0206,FEMACUBE³,R1
237,0207,FEMACUBE³,R1
238,0208,FEMACUBE³,R2
239,0209,FEMACUBE³,R5
240,0210,FEMACUBE³,R3
241,0211,FEMACUBE³,R2
242,0212,FEMACUBE³,R1
243,0213,FEMACUBE³,R5
244,0214,FEMACUBE³,R1
245,0215,FEMACUBE³,R2
246,0216,FEMACUBE³,R1
247,0217,FEMACUBE³,R4
248,0218,FEMACUBE³,R6
249,0219,FEMACUBE³,R4
250,0220,FEMACUBE³,R5
251,0221,FEMACUBE³,R6
