address,value
0xEFDD802C3472cD271B65caaEfe3820BDF833Bb52,0.05
0xaAA5ee9449F0935969fAFdD44677559BC02042f2,0.05
0xF7c6ed98CEb19f6044a702Cf14602B08798944cF,0.05
0x19f640e19F777a8206ed892e003a436eF427999F,0.05
0x32b4F0DE622904ba561f66E9E27094BfAb2952C2,0.05
0xD65abcA843f8b35ecde3fe67c95779134fD4A018,0.05
0x75aC87867C347EE901da3b05489B35112d980e1f,0.05
0x7Be55317fE283d15b4B84C3a373679483Df28B72,0.05
0xcfBBdF308FbED76A96e6059A810F086192655082,0.05
0x0EAaaa876465deb2B9184F89a08ba2351Fd2D821,0.05
0x4099555ad12a30870501b957a23ca567cf0ca88a,0.05
0xB2582C87b7aed282B7C5345ae986af64c857D99c,0.05
0x02782369877a02C290B27C00f8494b14c399DF53,0.05
0x2A5318d92f93569D85C3c4fEb01c36d31e155EC5,0.05
0x52146fFf9Db1208fcE2d15253aCA5D9B3f6b3048,0.05
0xF792a1d9BA34C4892C004cD2227F3EE819c77304,0.05
0x7B80368a57D5B8d2511546BCf639015C46958002,0.05
0xcaa7783BcaE371f75C9c675c82A4f4B6D0B570e4,0.05
0x7797B31C1BC72B0f5e575dA284b0954e19cB67dA,0.05
0x2f59Ec271Bb23fCB88A01328EAD107b5A9F7B75A,0.05
0xf18b6B944F9Ee1cAD1C9CB8e1aAD0a0bb98Df499,0.05
0x4aDb2981E42241e268e0EF4711af9f0daEE0E32E,0.02
0x2fEC27a886bf04D02006E66026B9de5cA6414e3f,0.05
0x4aB62D17E2c8f9ca79AD3429DA12D495a1055EAe,0.05
0xC0bF08682e29796f27652a26aBd98650e374C97D,0.05
0x170AcB0595C1e53f4d7E82c58Bc698b7806e58E5,0.05
0x31043fe8C590A4f858532AEC5B601f63f23947BF,0.05
0x201f3C75cBd3c0678F49090B7247eb501c047485,0.05
0xe63fA6524Fa2d252cC3B46fDb4839900BfBFBB49,0.05
0xafa9834eC213Feb5102480986FC453632df9510E,0.05
0x9f31a480fd2425283A73F70f96883f5793f90EAd,0.05
0xB3f0a16c246187381C9A1fb192C6eC8a9AE961f5,0.05
0x21bFa5c8990032E16ff04BA8D369fB0F5a815Ad6,0.05
0x815282DB3de3e9379bbE9dfF04d1a8d2198b744b,0.05
0x73Fae928C6dc77068d9A7D75216b7e5bcEA18cb0,0.05
0x0890658818d01b70146fc547BbB6B71987eD4E7b,0.05
0x38668c1ad4F991C2d8246A7fe1bA3A05df0F5Bf6,0.05
0x68Fb3961C3218D4F679e472AB72393b6287f2c49,0.05
0xD5394a34422550831Cd7D3eBc1b8163092BD101D,0.05
0x11F1dc878C755E1e1901b819045ec2E1b1b4e865,0.05
0xDe96fDFC8cdb35b213aE4b5bDA40D6AFDe39771b,0.05
0xACd3f76D932F6c4f0731a85Be68a6897F88CabB0,0.05
0x10547e22baC3eF28039d4eCe86e40081634911c6,0.05
0x1A569D78D8F445C77f61adc559BE9d3dCd3e288D,0.05
0x3e95aAa5B966AE244F75aaca17834DbcB05FA114,0.05
0x1F182e402372f31d05d79f628c3eB16d73c165A3,0.05
0x6B6445369ee8CfD592467d3d205BB51e25754330,0.05
0xB9Bc0e8B96E76F5863A9bF926079429D9861fd14,0.05
0x01CFB3aeE7267877d4Dd07d659e4f10bBaAfA1f3,0.05
0x3eEcc77755eEebF913498D25e583887372Dbaf9A,0.05
0x6b3709e0A0e878397587221d3d38223D34662fD9,0.05
0xd5e498570d50881b1865f0EEbcBfC565E4606c62,0.05
0xD301b5fB85a66Fc84B2931b26b46Cf16a7DbD751,0.05
0x1feDb294fFbb91f3654dDf79A344d8F6b245a9c9,0.05
0xEEdF7A957666bc1a3DA448E5A248c768A94A567B,0.05
0x7a7892b3EF64ABeDe8348684BA57a37fd7EDC0d9,0.05
0x28FD522E9682997f18b824ed104d9996D4001782,0.03
0x210a0C4b4D55A87b7eb98bB2205DD53b77033Bec,0.05
0x0f06bcBBb8f3285c66aC7ADF8B5a1e4AeF8EE129,0.05
0x7e8B0E64F6F2B7E813D2007F513F19A666847b42,0.05
0x820f52A5691dcD00E9656ad0f74804b7bd141276,0.05
0xF588b1fDe5B8796CE0505869ddFc1f8f9F502Aa1,0.05
0x44b1b1138fE257794717122E0b515B667EC09C0E,0.05
0xc026d70DA21f9360d34f95C4664d90819Cf752e6,0.05
0x52A7d9aeD72bde27052eB4A82BE45EF3987ab71b,0.05
0xe84b19a5F1Cfc0C2B3cf2127A458DAEdB1B4fCb4,0.05
0x14425eE4B0A419aa797Cd9979AD91e870f9e4D62,0.05
0x35c56Be9b9747c06B236B27c735FA98E724DD1c5,0.05
0xA8dAa4FD7f080aD1d34597AC6a82DC86dF265180,0.05
0xDa9EB754793f5fd1Ef49e60fC64f12072C3f3ee9,0.05
0xb68107a544c23f3630d5c5283667be94c5ddc4ed,0.05
0x78b1c5fab52c4bbc17ef90b5388570d2b53d9a76,0.05
0xf8511df3550070fb5778b37785a22cf12b3db7dc,0.05
0xc53d65e9611c2e8e00ad3f7e7dad7a2c4c6e3045,0.04959441003
0x43134dd29523c86c1ac6d0ccb920278b2b89eac0,0.05
0x246713f30adc84875a0927a83fbccc648984a8da,0.05
0xaac98d26f483fcbc10aa849f01f82d50fb162567,0.05
0x568e77d2dc8f5deb370d3aed95e51a3b2d3bf7dd,0.05
